,country,country_code,area,OID
382,Malaysia,MYS,55239070.89,348
383,Malaysia,MYS,5840056701,349
384,Malaysia,MYS,2000871920,350
385,Malaysia,MYS,3.25E+11,351
386,Maldives,MDV,124454868.9,352
387,Maldives,MDV,176951087.3,353
388,Marshall Islands,MHL,112616776,356
389,Marshall Islands,MHL,206485918.6,357
390,France,MTQ,3198452.092,358
391,France,MTQ,1197922828,359
392,Mauritius,MUS,6639232.203,363
393,Mauritius,MUS,155611520.8,364
394,Mauritius,MUS,2148151491,365
395,France,MYT,2031878.927,366
396,France,MYT,412413506.8,367
397,Mexico,MEX,126960774.2,368
398,Mexico,MEX,5639375982,369
399,Mexico,MEX,2810444780,370
400,Mexico,MEX,2.36E+12,371
401,Micronesia,FSM,41801401.67,372
402,Micronesia,FSM,745423375.3,373
403,Moldova,MDA,73315539805,374
404,Mongolia,MNG,3.35E+12,376
405,Montenegro,MNE,1843049.016,377
406,Montenegro,MNE,25827549873,378
407,United Kingdom,MSR,110200778,379
408,Mozambique,MOZ,53210683.44,383
409,Mozambique,MOZ,1337688851,384
410,Mozambique,MOZ,8.70E+11,385
411,Myanmar,MMR,144509976,386
412,Myanmar,MMR,14116974130,387
413,Myanmar,MMR,10484004399,388
414,Myanmar,MMR,7.50E+11,389
415,Namibia,NAM,2756342.055,390
416,Namibia,NAM,6999835.984,391
417,Namibia,NAM,9.69E+11,392
418,Nauru,NRU,22252040.03,393
419,Nepal,NPL,1.91E+11,394
420,France,NCL,39909300.02,398
421,France,NCL,680536093.6,399
422,France,NCL,2085145013,400
423,France,NCL,19000065980,401
424,New Zealand,NZL,117750201.1,402
425,New Zealand,NZL,3771174730,403
426,New Zealand,NZL,6271185007,404
427,New Zealand,NZL,4.79E+11,405
428,Nicaragua,NIC,7571480.764,406
429,Nicaragua,NIC,97369305,407
430,Nicaragua,NIC,1.35E+11,408
431,Australia,NFK,297128.17,414
432,Australia,NFK,52763763.42,415
433,North Korea,PRK,38667627.55,416
434,North Korea,PRK,429221170.7,417
435,North Korea,PRK,2.09E+11,418
436,North Macedonia,MKD,45527939299,419
437,United States,MNP,761865.5527,420
438,United States,MNP,533590770.2,421
439,Oman,OMN,7532358.108,426
440,Oman,OMN,115733711,427
441,Oman,OMN,757890890.3,428
442,Oman,OMN,3.53E+11,429
443,Pakistan,PAK,11407030.87,430
444,Pakistan,PAK,2674065392,431
445,Pakistan,PAK,1.17E+12,432
446,Palau,PLW,12144088.1,433
447,Palau,PLW,102315865.3,434
448,Palau,PLW,380114147.7,435
449,Palestinian Territory,PSE,8702963723,436
450,Panama,PAN,27771815.85,437
451,Panama,PAN,1148773298,438
452,Panama,PAN,45408968064,439
453,Panama,PAN,27342550.6,440
454,Panama,PAN,399154903.4,441
455,Panama,PAN,30098194362,442
456,Papua New Guinea,PNG,157987879.3,443
457,Papua New Guinea,PNG,9189060515,444
458,Papua New Guinea,PNG,25482303866,445
459,Papua New Guinea,PNG,4.37E+11,446
460,Paraguay,PRY,4.77E+11,447
461,Peru,PER,8370433.636,448
462,Peru,PER,80934350.01,449
463,Peru,PER,1.34E+12,450
464,Philippines,PHL,256787412.7,451
465,Philippines,PHL,12369913459,452
466,Philippines,PHL,19157948483,453
467,Philippines,PHL,2.80E+11,454
468,United Kingdom,PCN,269880.6242,455
469,United Kingdom,PCN,63962836.86,456
470,Poland,POL,5192076.271,457
471,Poland,POL,904560897.7,458
472,Poland,POL,8.26E+11,459
473,United States,PRI,7809124.298,463
474,United States,PRI,264320199.8,464
475,United States,PRI,9724315160,465
476,Qatar,QAT,2291925.935,466
477,Qatar,QAT,16200245.37,467
478,Qatar,QAT,14247957478,468
479,France,REU,2903977677,469
480,Romania,ROU,959768.931,470
481,Romania,ROU,51345978.69,471
482,Romania,ROU,4.91E+11,472
483,Russian Federation,RUS,3161164780,473
484,Russian Federation,RUS,2.87E+11,474
485,Russian Federation,RUS,3.51E+11,475
486,Russian Federation,RUS,9.71E+11,476
487,Russian Federation,RUS,6.49E+13,477
488,Russian Federation,RUS,1319024007,478
489,Russian Federation,RUS,65385671723,479
490,Russian Federation,RUS,4.42E+11,480
491,Russian Federation,RUS,2.19E+11,481
492,Russian Federation,RUS,1.53E+13,482
493,Rwanda,RWA,25517861968,483
494,Netherlands,BES,15856455.46,484
495,France,BLM,1225961.615,485
496,France,BLM,25669904.31,486
497,Netherlands,BES,25846119.07,487
498,United Kingdom,SHN,936390.3654,488
499,United Kingdom,SHN,551736664.7,489
500,Saint Kitts and Nevis,KNA,8273.770095,490
501,Saint Kitts and Nevis,KNA,294367329.8,491
502,Saint Lucia,LCA,235860.9527,492
503,Saint Lucia,LCA,655621630.2,493
504,France,MAF,396425.0358,494
505,France,MAF,1709548.188,495
506,France,MAF,59616701.82,496
507,Saint Vincent and the Grenadines,VCT,3455168.109,499
508,Saint Vincent and the Grenadines,VCT,47447662.69,500
509,Saint Vincent and the Grenadines,VCT,370361026.1,501
510,Samoa,WSM,879937.9387,502
511,Samoa,WSM,5880925.063,503
512,Samoa,WSM,3035765911,504
513,Sao Tome and Principe,STP,1525230.265,506
514,Sao Tome and Principe,STP,147076034.3,507
515,Sao Tome and Principe,STP,861170842.4,508
516,Saudi Arabia,SAU,60738794.78,509
517,Saudi Arabia,SAU,1370890000,510
518,Saudi Arabia,SAU,2.33E+12,511
519,Serbia,SRB,1.71E+11,515
520,Seychelles,SYC,11934286.22,516
521,Seychelles,SYC,289228891.8,517
522,Seychelles,SYC,199931720.7,518
523,Singapore,SGP,4319409.443,522
524,Singapore,SGP,82777596.04,523
525,Singapore,SGP,620557971.5,524
526,Netherlands,SXM,49829.08984,525
527,Netherlands,SXM,42939918.41,526
528,Slovakia,SVK,1.13E+11,527
529,Solomon Islands,SLB,130828235.6,529
530,Solomon Islands,SLB,5125526119,530
531,Solomon Islands,SLB,18561984906,531
532,Solomon Islands,SLB,5560126946,532
533,Somalia,SOM,8066177.509,533
534,Somalia,SOM,35842866.83,534
535,Somalia,SOM,6.46E+11,535
536,South Africa,ZAF,9650150.159,536
537,South Africa,ZAF,750638411.1,537
538,South Africa,ZAF,1.61E+12,538
539,South Korea,KOR,5316183794,539
540,South Korea,KOR,2661469158,540
541,South Korea,KOR,1.47E+11,541
542,South Sudan,SSD,6.48E+11,542
543,Sri Lanka,LKA,14425016.91,548
544,Sri Lanka,LKA,136055508.9,549
545,Sri Lanka,LKA,1068810263,550
546,Sri Lanka,LKA,66212818336,551
547,Sudan,SDN,16459808.48,552
548,Sudan,SDN,105596065,553
549,Sudan,SDN,2.04E+12,554
550,Suriname,SUR,3455366.227,555
551,Suriname,SUR,59034742.76,556
552,Suriname,SUR,1.47E+11,557
553,Sweden,SWE,1277328520,558
554,Sweden,SWE,10690773125,559
555,Sweden,SWE,16122583340,560
556,Sweden,SWE,2.15E+12,561
557,Syria,SYR,530502.5511,563
558,Syria,SYR,2.81E+11,564
559,Tajikistan,TJK,2.33E+11,565
560,Tanzania,TZA,20237993.18,566
561,Tanzania,TZA,866723798.4,567
562,Tanzania,TZA,9.60E+11,568
563,Thailand,THA,74495416.75,569
564,Thailand,THA,2753148477,570
565,Thailand,THA,5.54E+11,571
566,Timor-Leste,TLS,15221657213,572
567,New Zealand,TKL,5663355.655,574
568,New Zealand,TKL,11136233.23,575
569,Tonga,TON,17329209.6,576
570,Tonga,TON,847113907,577
571,Trinidad and Tobago,TTO,799525.0946,578
572,Trinidad and Tobago,TTO,335929825.4,579
573,Trinidad and Tobago,TTO,5030404241,580
574,Turkey,TUR,36590836.36,584
575,Turkey,TUR,597253210.7,585
576,Turkey,TUR,1.25E+12,586
577,Turkey,TUR,944650.4021,587
578,Turkey,TUR,491717933.8,588
579,Turkey,TUR,41860149469,589
580,Turkmenistan,TKM,9373015.168,590
581,Turkmenistan,TKM,266506815.5,591
582,Turkmenistan,TKM,7.82E+11,592
583,United Kingdom,TCA,8260961.984,593
584,United Kingdom,TCA,1146574130,594
585,Tuvalu,TUV,6365605.429,595
586,Tuvalu,TUV,36319522.04,596
587,Uganda,UGA,2.43E+11,597
588,Ukraine,UKR,23195752.17,598
589,Ukraine,UKR,1027723910,599
590,Ukraine,UKR,1.39E+12,600
591,United Arab Emirates,ARE,43849354.54,601
592,United Arab Emirates,ARE,965407733.4,602
593,United Arab Emirates,ARE,84685101587,603
594,United States,UMI,1043834.157,608
595,United States,UMI,43274483.03,609
596,United States,USA,1953328201,610
597,United States,USA,79684429841,611
598,United States,USA,1.87E+11,612
599,United States,USA,61024753521,613
600,Uruguay,URY,7732966.278,615
601,Uruguay,URY,172251333.7,616
602,Uruguay,URY,2.52E+11,617
603,United States,VIR,4620034.098,618
604,United States,VIR,397028359.3,619
605,Uzbekistan,UZB,8.06E+11,620
606,Vanuatu,VUT,10156199.16,621
607,Vanuatu,VUT,4190720837,622
608,Vanuatu,VUT,9264340462,623
609,Venezuela,VEN,40948095.52,625
610,Venezuela,VEN,5000876243,626
611,Venezuela,VEN,988820599.5,627
612,Venezuela,VEN,9.27E+11,628
613,Vietnam,VNM,138301013.1,629
614,Vietnam,VNM,5273425328,630
615,Vietnam,VNM,2292982147,631
616,Vietnam,VNM,3.53E+11,632
617,France,WLF,1151611.839,633
618,France,WLF,162677398,634
619,Yemen,YEM,799601.8374,635
620,Yemen,YEM,193845532.8,636
621,Yemen,YEM,3809101262,637
622,Yemen,YEM,11835619.24,638
623,Yemen,YEM,557275760.7,639
624,Yemen,YEM,4.88E+11,640
625,Zambia,ZMB,8.00E+11,641
626,Zimbabwe,ZWE,4.40E+11,642
627,South Korea,KOR,189701156.6,647
